PAYS;CAPITALE;CONTINENT
Egypte;Le Caire;Afrique
El Salvador;San Salvador;Amérique du Nord
Guinée Equatoriale;Malabo;Afrique
Erythrée;Asmera;Afrique
Estonie;Tallinn;Europe
Ethiopie;Addis-Abéba;Afrique
Iles Falkland;Stanley;Amérique du Sud
Fidji;Suva;Océanie
Finlande;Helsinki;Europe
Macédoine;Skopje;Europe
France;Paris;Europe
Guyane Française;Cayenne;Amérique du Sud
Polynésie Française;Papeete;Océanie
Gabon;Libreville;Afrique
Gambie;Banjul;Afrique
Georgie;Tbilissi;Asie
Allemagne;Bonn-Berlin;Europe
Ghana;Accra;Afrique
Gibraltar;Gibraltar;Europe
Grèce;Athènes;Europe
Groenland;Nuuk;Europe
Grenade;Saint-George;Amérique du Nord
Guadeloupe;Basse-Terre;Amérique du Nord
Guam;Agana;Océanie
Guatémala;Guatémala;Amérique du Nord
Guinée;Conakry;Afrique
Guinée Bissau;Bissao;Afrique
Guyana;Georgetown;Amérique du Sud
Haïti;Port-au-Prince;Amérique du Nord
Honduras;Tegucigalpa;Amérique du Nord
Chine;Pékin;Asie
Hongrie;Budapest;Europe
Islande;Reykjavik;Europe
Inde;New Delhi;Asie
Indonésie;Jakarta;Asie
Iran;Téhéran;Asie
Irak;Bagdad;Asie
Irlande;Dublin;Europe
Israël;Jérusalem;Asie
Italie;Rome;Europe
Côte d'Ivoire;Abidjan;Afrique
Jamaïque;Kingston;Amérique du Nord
Japon;Tokyo;Asie
Jordanie;Amman;Asie
Kazakhstan;Alma-Ata;Asie
Kénya;Nairobi;Afrique
Kiribati;Tarawa;Océanie
Corée du Nord;Pyongyang;Asie
Corée du Sud;Séoul;Asie
Koweït;Koweït;Asie
Kirghizstan;Bichkek;Asie
Laos;Vientiane;Asie
Lettonie;Riga;Europe
Liban;Beyrouth;Asie
Lésotho;Maseru;Afrique
Libéria;Monrovia;Afrique
Libye;Tripoli;Afrique
Liechtenstein;Vaduz;Europe
Lituanie;Vilnius;Europe
Luxembourg;Luxembourg;Europe
Madagascar;Antananarivo;Afrique
Malawi;Lilongwé;Afrique
Malaisie;Kuala Lumpur;Asie
Maldives;Male;Asie
Mali;Bamako;Afrique
Malte;La Vallette;Europe
Iles Marshall;Majuro;Océanie
Martinique;Fort-de-France;Amérique du Nord
Mauritanie;Nouakchott;Afrique
Maurice;Port-Louis;Afrique
Mexique;Mexico;Amérique du Nord
Moldavie;Chisinau;Europe
Monaco;Monaco;Europe
Mongolie;Oulan-Bator;Asie
Maroc;Rabat;Afrique
Mozambique;Maputo;Afrique
Myanmar;Rangoon;Asie
Namibie;Windhoek;Afrique
Nauru;Yaren;Océanie
Népal;Katmandou;Asie
Pays-Bas;Amsterdam;Europe
Nouvelle Calédonie;Nouméa;Océanie
Nouvelle Zélande;Wellington;Australie
Nicaragua;Managua;Amérique du Nord
Niger;Niamey;Afrique
Nigéria;Lagos;Afrique
Niue;Alofi;Océanie
Iles Mariannes du Nord;Capitol Hill;Océanie
Norvège;Oslo;Europe
Oman;Mascate;Asie
Pakistan;Islamabad;Asie
Iles Palau;Koror;Océanie
Panama;Panama;Amérique du Nord
Papouasie-Nouvelle-Guinée;Port Moresby;Asie
Paraguay;Asuncion;Amérique du Sud
Pérou;Lima;Amérique du Sud
Philippines;Manille;Asie
Portugal;Lisbonne;Europe
Porto Rico;San Juan;Amérique du Nord
Qatar;Doha;Asie
Réunion;Saint-Denis;Afrique
Roumanie;Bucarest;Europe
Russie;Moscou;Asie
Rwanda;Kigali;Afrique
Sainte-Lucie;Castries;Amérique du Nord
Saint-Marin;Saint-Marin;Europe
Sao Tomé;Sao Tomé;Afrique
Arabie Saoudite;Riyad;Asie
Sénégal;Dakar;Afrique
Seychelles;Victoria;Afrique
Sierra Léone;Freetown;Afrique
Singapour;Singapour;Asie
Slovaquie;Bratislava;Europe
Slovénie;Ljubljana;Europe
Iles Salomon;Honiara;Océanie
Somalie;Mogadiscio;Afrique
Afrique du sud;Prétoria;Afrique
Espagne;Madrid;Europe
Sri Lanka;Colombo;Asie
Saint Kitts et Nevis;Basse Terre;Amérique du Nord
Saint-Vincent;Kingstown;Amérique du Nord
Soudan;Khartoum;Afrique
Surinam;Paramaribo;Amérique du Sud
Swaziland;Mbabane;Afrique
Suède;Stockholm;Europe
Suisse;Berne;Europe
Syrie;Damas;Asie
Taïwan;Taipei;Asie
Tadjikistan;Douchanbé;Asie
Tanzanie;Dodoma;Afrique
Thaïlande;Bangkok;Asie
Togo;Lomé;Afrique
Tonga;Nuku'Alofa;Océanie
Trinidad et Tobago;Port d'Espagne;Amérique du Nord
Tunisie;Tunis;Afrique
Turquie;Ankara;Europe
Turkménistan;Achkhabad;Asie
Turks et Caicos;Grand Turk;Amérique du Nord
Tuvalu;Funafuti;Océanie
Ouganda;Kampala;Afrique
Ukraine;Kiev;Europe
Emirats arabes unis;Abu Dhabi;Asie
Royaume-Uni;Londres;Europe
Etats-Unis;Washington;Amérique du Nord
Uruguay;Montevideo;Amérique du Sud
Ouzbékistan;Tachkent;Asie
Vanuatu;Port-Vila;Océanie
Vatican;Vatican;Europe
Vénézuela;Caracas;Amérique du Sud
Vietnam;Hanoi;Asie
Samoa Orientale;Apia;Océanie
Yemen;Sanaa;Asie
Serbie;Belgrade;Europe
République démocratique du Congo;Kinshasa;Afrique
Zambie;Lusaka;Afrique
Zimbabwé;Hararé;Afrique
Pologne;Varsovie;Europe
Biélorussie;Minsk;Europe
